A01	S1	DONE
A02	S1	DONE
A03	S2	DONE
A04	S2	DONE
A05	S2	DONE
A06	S2	DONE
A07	S2	DONE
A08	S2	DONE
A09	S3	DONE
A10	S3	DONE
A11	S3	DONE
A12	null	DONE
A13	null	DONE
A14	S1	DONE
A15	S1	DONE
A16	S3	DONE
A17	S1	DONE
A18	S1	DONE
A19	S2	DONE
A20	S1	DONE
A21	S2	DONE
A22	S2	DONE
A23	S2	DONE
A24	S2	DONE
A25	S3	DONE
A26	S3	DONE
A27	S3	DONE
A28	S2	DONE
A29	S0	DONE
A30	S1	DONE
A31	S1	DONE
A32	S1	DONE
A33	S1	DONE
A34	S1	DONE
A35	S1	DONE
A36	S1	DONE
A37	S2	DONE
A38	S2	DONE
A39	S2	DONE
A40	S3	DONE
A41	S2	DONE
A42	S2	DONE
A43	S2	DONE
A44	S2	DONE
A45	S2	DONE
A46	S2	DONE
A47	S2	DONE
A48	S2	DONE
A49	S2	DONE
A50	S3	DONE
A51	S3	DONE
A52	S2	DONE
A53	S2	DONE
A54	S2	DONE
A55	S3	DONE
A56	S3	DONE
A57	S3	DONE
A58	S3	DONE
A59	S2	DONE
A60	S2	DONE
A61	S2	DONE
A62	S2	DONE
A63	S3	DONE
A64	S3	DONE
A65	S3	DONE
A66	S3	DONE
A67	S1	DONE
A68	S2	DONE
A69	S2	DONE
A70	S2	DONE
A71	S2	DONE
A72	S2	DONE
A73	S2	DONE
A74	S3	DONE
A75	S1	DONE
A76	S3	DONE
A77	S2	DONE
A78	S3	DONE
A79	S3	DONE
A80	S2	DONE
A81	S3	DONE
A82	S3	DONE
A83	S3	DONE
A84	S2	DONE
A85	S3	DONE
A86	S3	DONE
A87	S2	DONE
A88	S3	DONE
A89	S2	DONE
A90	S2	DONE
A91	S3	DONE
A92	S2	DONE
A93	S2	DONE
A94	S3	DONE
A95	S2	DONE
A96	S3	DONE
A97	S2	DONE
A98	S2	DONE
A99	S2	DONE
A100	S2	DONE
A101	S2	DONE
A102	S2	DONE
A103	S2	DONE
A104	S2	DONE
A105	S3	DONE
A106	S3	DONE
A107	S3	DONE
A108	S2	DONE
A109	S2	DONE
A110	S2	DONE
A111	S3	DONE
A112	S3	DONE
A113	S3	DONE
A114	S3	DONE
A115	S2	DONE
A116	S2	DONE
A117	S2	DONE
A118	S2	DONE
A119	S3	DONE
A120	S3	DONE
A121	S2	DONE
A122	S3	DONE
A123	S2	DONE
A124	S2	DONE
A125	S2	DONE
A126	S3	DONE
A127	S3	DONE
A128	S3	DONE
A129	S2	DONE
A130	S3	DONE
A131	S2	DONE
A132	S3	DONE
A133	S1	DONE
A134	S2	DONE
A135	S2	DONE
A136	S0	DONE
A137	S0	DONE
A138	S2	DONE
A139	S2	DONE
A140	S2	DONE
A141	S2	DONE
A142	S2	DONE
A143	S2	DONE
A144	S2	DONE
A145	S2	DONE
A146	S2	DONE
A147	S3	DONE
A148	S3	DONE
A149	S3	DONE
A150	S3	DONE
A151	S3	DONE
A152	S3	DONE
A153	S3	DONE
A154	S3	DONE
A155	S3	DONE
A156	S3	DONE
A157	S3	DONE
A158	S3	DONE
A159	S3	DONE
A160	S3	DONE
A161	S3	DONE
A162	S3	DONE
A163	S3	DONE
A164	S3	DONE
A165	S1	DONE
A166	S1	DONE
A167	S1	DONE
A168	S1	DONE
A169	S1	DONE
A170	S2	DONE
A171	S2	DONE
A172	S2	DONE
A173	S2	DONE
A174	S2	DONE
A175	S2	DONE
A176	S2	DONE
A177	S3	DONE
A178	S3	DONE
A179	S3	DONE
A180	S3	DONE
A181	S2	DONE
A182	S2	DONE
A183	S2	DONE
A184	S2	DONE
A185	S2	DONE
A186	S2	DONE
A187	S2	DONE
A188	S3	DONE
A189	S3	DONE
A190	S3	DONE
A191	S3	DONE
A192	S3	DONE
A193	S3	DONE
A194	S3	DONE
A195	S3	DONE
A196	S1	DONE
A197	S1	DONE
A198	S1	DONE
A199	S2	DONE
A200	S2	DONE
A201	S2	DONE
A202	S2	DONE
A203	S2	DONE
A204	S2	DONE
A205	S3	DONE
A206	S3	DONE
A207	S3	DONE
A208	S3	DONE
A209	S3	DONE
A210	S2	DONE
A211	S2	DONE
A212	S1	DONE
A213	S2	DONE
A214	S2	DONE
A215	S2	DONE
A216	S2	DONE
A217	S3	DONE
A218	S3	DONE
A219	S3	DONE
