A01	S1	DONE
A02	S1	DONE
A03	S2	DONE
A04	S2	DONE
A05	S2	DONE
A06	S2	DONE
A07	S2	DONE
A08	S2	DONE
A09	S3	DONE
A10	S3	DONE
A11	S3	DONE
A12	null	DONE
A13	null	DONE
A14	S1	DONE
A15	S1	DONE
A16	S3	DONE
A17	S1	DONE
A18	S1	DONE
A19	S2	DONE
A20	S1	DONE
A21	S2	DONE
A22	S2	DONE
A23	S2	DONE
A24	S2	DONE
A25	S3	DONE
A26	S3	DONE
A27	S3	DONE
A28	S2	DONE
A29	S0	DONE
A30	S1	DONE
A31	S1	DONE
A32	S1	DONE
A33	S1	DONE
A34	S1	DONE
A35	S1	DONE
A36	S1	DONE
A37	S2	DONE
A38	S2	DONE
A39	S2	DONE
A40	S3	DONE
A41	S2	DONE
A42	S2	DONE
A43	S2	DONE
A44	S2	DONE
A45	S2	DONE
A46	S2	DONE
A47	S2	DONE
A48	S2	DONE
A49	S2	DONE
A50	S3	DONE
A51	S3	DONE
A52	S2	DONE
A53	S2	DONE
A54	S2	DONE
A55	S3	DONE
A56	S3	DONE
A57	S3	DONE
A58	S3	DONE
A59	S2	DONE
A60	S2	DONE
A61	S2	DONE
A62	S2	DONE
A63	S3	DONE
A64	S3	DONE
A65	S3	DONE
A66	S3	DONE
A67	S1	DONE
A68	S2	DONE
A69	S2	DONE
A70	S2	DONE
A71	S2	DONE
A72	S2	DONE
A73	S2	DONE
A74	S3	DONE
A75	S1	DONE
A76	S3	DONE
A77	S2	DONE
A78	S3	DONE
A79	S3	DONE
A80	S2	DONE
A81	S3	DONE
A82	S3	DONE
A83	S3	DONE
A84	S2	DONE
A85	S3	DONE
A86	S3	DONE
A87	S2	DONE
A88	S3	DONE
A89	S2	DONE
A90	S2	DONE
A91	S3	DONE
A92	S2	DONE
A93	S2	DONE
A94	S3	DONE
A95	S2	DONE
A96	S3	DONE
A97	S2	DONE
A98	S2	DONE
A99	S2	DONE
A100	S2	DONE
A101	S2	DONE
A102	S2	DONE
A103	S2	DONE
A104	S2	DONE
A105	S3	DONE
A106	S3	DONE
A107	S3	DONE
A108	S2	DONE
A109	S2	DONE
A110	S2	DONE
A111	S3	DONE
A112	S3	DONE
A113	S3	DONE
A114	S3	DONE
A115	S2	DONE
A116	S2	DONE
A117	S2	DONE
A118	S2	DONE
A119	S3	DONE
A120	S3	DONE
A121	S2	DONE
A122	S3	DONE
A123	S2	DONE
A124	S2	DONE
A125	S2	DONE
A126	S3	DONE
A127	S3	DONE
A128	S3	DONE
